rest_or_suffix	frequency
වීමක්	18552
සිකම්	18547
හත්	18528
ම්වල	18503
නගේ	18471
නමක්	18427
වාසිකම්	18417
තක්ෂයට	18404
තිවාසිකම්	18349
ස්ථාවක්	18323
දන්	18309
න්ති	18304
නක	18293
ත්ය	18281
යේම	18276
ත්තා	18250
දිත	18233
ධිකරණය	18122
ශයේදී	18007
වයට	17992
ටර්	17957
නිමින්	17946
වකදී	17919
කඩ	17910
දර	17908
යකදී	17884
ධයක්	17866
ද්‍යාලයේ	17859
වීමෙන්	17858
සීම	17849
නයකට	17830
යින	17803
රයන්	17784
න්විත	17769
විද්‍යාලයේ	17749
රණයෙන්	17719
ථන	17653
යෙකි	17631
ගනිමින්	17630
ළව	17563
රයෙක්	17512
කයි	17473
කථන	17457
තියට	17454
දිතයන්	17413
බදව	17409
දිතයින්	17345
පතිතුමා	17342
ගමනය	17294
ළක්	17214
රියා	17207
යිනේ	17179
නෙක්	17146
ග්‍රහණය	17139
ක්කය	17094
වරයෙකු	17092
සානයේ	17054
පියන්	17029
මන්	17010
ජයේ	17007
සූ	16979
සාරිස්	16960
නීමේ	16945
කිරීම්	16925
වරුවේ	16925
පස	16909
ෂඥ	16814
දනයක්	16780
ද්ධව	16750
ක්‍ෂ	16748
වැය	16640
ටහන්	16580
සුන්	16565
ගාරයේ	16559
සටහන්	16514
ගාවලියේ	16501
න්නැයි	16491
න්ස්	16489
සූරිය	16415
ධාරින්	16395
වත	16391
ධිපතිතුමා	16381
රීන්ගේ	16289
රුවෙකු	16249
රුවා	16234
ධි	16225
ධ්‍ය	16195
නාකරණ	16170
වාය	16169
මනාකරණ	16135
යෙකුට	16133
වේදීන්	16120
වරයකු	16109
ඩුව	16050
තිලක	16033
වන්ත	16019
රකින්	15955
ම්වරයා	15952
ලෙන්	15951
ස්සු	15941
ගැනීමේ	15935
න්ගොඩ	15925
ණවත්	15845
ලයි	15788
ධාරීන්ගේ	15765
යමට	15749
යක්ද	15743
තන්න	15696
ධිකරණ	15690
සයක්	15687
කාවක්	15660
ගමුව	15652
ඳුම්	15649
ණත්	15509
යෙනි	15492
ධන	15411
තිවරුන්	15271
පතිවරයාගේ	15262
ජ්	15249
මිතයි	15245
හන්ය	15242
ස්පති	15221
කරමින්	15216
පයකට	15216
ත්වයට	15212
දැයි	15207
නකු	15201
කයින්ට	15169
දායක	15168
රච්චි	15162
වරුන්ට	15154
ලිබල	15117
ෂයෙන්ම	15102
රිම	15089
ක්ෂණයක්	15055
දුරු	15052
කයට	14950
රුවකු	14950
ළත	14936
කරුවන්ට	14935
නවලට	14919
යිද	14871
නාගෙන	14856
ජයට	14830
මකි	14826
ස්වල	14823
රීමේ	14748
ශයෙන්	14736
හනක්	14732
රනායක	14712
ශක්ති	14692
රදී	14674
රිකා	14629
ලිකව	14618
ණට	14582
තියේ	14560
සම්	14559
ඞ්	14506
යන්හි	14505
වෙන	14457
මුණු	14455
කුගෙන්	14431
රුවන්ගේ	14423
ඩා	14358
කෝන්	14343
රදි	14312
වුණා	14295
ඳතා	14281
රේක	14245
තීන්	14229
කිව	14171
ජිකයන්	14153
රියක්	14121
ත්‍යංශය	14099
සමේ	14094
නුත්	14073
ණයකට	14054
මාධ්‍ය	14046
කීමක්	14045
කාරියේ	14028
කමක්	14019
තැන්	13990
ථ	13989
වාට	13987
ණීම	13971
ලයෙන්	13893
වේගී	13843
ත්වූ	13839
මානයේ	13829
නයන්	13790
හාසයේ	13782
රිකාවේ	13779
ගාරය	13776
රනු	13699
කරුවෙකු	13694
වරිය	13678
මාගේ	13603
ධනා	13592
ලියට	13579
රිකාව	13516
ද්ද	13500
සාන	13449
රවීර	13364
සුවේය	13301
පතිවරයාට	13289
ණුව	13248
තුරට	13246
ලන්ත	13223
ගයෙන්	13189
රිපිට	13186
රෙන	13160
ටුවේ	13145
ජන්	13134
ණියට	13109
යටම	13081
ම්පත	13065
තනයක්	13055
වන්න	13048
දින	13018
මාව	12989
පටය	12974
න්නන්	12971
රතුර	12948
ද්	12940
ආරච්චි	12915
ත්තක්	12881
දිංචි	12856
පදිංචි	12822
වරයෙක්	12811
ණයන්	12788
ගාවලිය	12783
රවාරි	12777
රයේදී	12733
ම්පත්	12724
වයේ	12713
ල්ප	12656
හන්සේ	12622
නයන	12615
යාගෙන්	12603
ච්ඡාවක්	12592
ටමත්	12591
හසක්	12497
පත්‍ර	12479
ණීය	12476
මුල්ල	12475
වාගෙන	12450
නන්ද	12447
ණන්	12444
නාවට	12422
ත්තිය	12404
වගෙන්	12342
සියන්	12320
වංශ	12267
වෙ	12213
දිග	12194
ෂී	12180
ටියේ	12161
ණියක්	12100
යෝග	12100
ල්වලට	12097
ලාව	12089
කරුවකු	12088
ම්කර	12040
ලයකු	12020
මාණ	11984
රුත්	11975
ෂණය	11918
ඹෙන	11897
ෆ්	11887
තියි	11883
තුම්	11871
පයක	11841
යක්ම	11838
රුවෝ	11831
රණයේදී	11823
රයකින්	11817
දීමේ	11776
න්ද්‍රන්	11762
රයකට	11757
ක්වත්	11702
ඟින්	11702
ටුවා	11702
නේරු	11699
දාවේ	11696
පෙ	11690
ක්ෂයේ	11679
සරය	11671
ස්ථාවක	11670
තුවලට	11664
එළිය	11658
ම්වලින්	11647
ත්‍යාංශ	11640
මටද	11630
දීත්	11622
ර්ණයෙන්ම	11591
කල්	11587
වසම්	11575
පාන	11569
වූයේ	11554
කයින්ගේ	11539
න්නයේ	11528
විල	11520
රසිංහ	11514
ධාරියා	11502
ලීන	11502
කාවන්	11491
යුතුවලට	11491
ත්වල	11446
දල	11440
වරක්	11432
ණ්ඩව	11417
ශේෂී	11388
මඩ්	11384
සති	11350
කාලිකව	11340
යනික	11324
මුදල	11295
ලනයේ	11278
මකදී	11275
හාසය	11269
යාවෙන්	11242
රඑළිය	11240
මාත්‍යවරයා	11185
තාවගෙන්	11175
වයෙන්	11173
වියේ	11158
ධිපතිවරයාගේ	11148
වෙළක්	11131
ලියාවේ	11116
න්තුවේදී	11090
ම්කරුවන්	11080
යාය	11078
යකුට	11069
ලියානු	11068
කතන	11053
ලීම	11047
ඥයන්	11037
නියා	11033
ළා	11027
ණාත්මක	11023
ස්කරණ	11014
මේන්තුවේදී	10981
වෙමින්	10963
චිව	10962
චනය	10956
න්නරුව	10950
තාවයක්	10935
ක්ෂව	10923
සංස්කරණ	10921
න්දා	10917
කාවට	10913
තයෙන්	10908
ධානයක්	10901
දෙනු	10892
සාර	10891
ජිත	10889
පළ	10885
කූලව	10881
හාසික	10857
වලියට	10849
වාර	10835
වෙළ	10792
ණක	10779
ත්විණි	10778
සමින්	10777
යුම	10765
සිදු	10756
කාය	10747
තිවරු	10729
ගනී	10722
න්සේගේ	10681
වික	10678
ත්පත්	10670
ක්ෂය	10610
කේ	10610
භෝගික	10610
සීන්	10579
කත්වයෙන්	10575
යිනට	10573
ගතව	10542
න්‍යයෙන්	10537
රවල	10485
ලන්තය	10461
වමින්	10460
සෙන	10446
මීව	10442
රාම	10439
වරණයට	10437
යව	10436
ලකට	10431
රුට	10430
රුම	10422
ෂ්ට	10385
ඳුමක්	10381
නුයේ	10379
න්දර	10362
සීමට	10302
ධානයට	10202
ජිකයින්	10189
ඵලයක්	10163
මටයි	10159
ණ්ඩ	10154
තුරකින්	10131
ධායක	10121
ෂා	10121
රියන්	10116
රුදන්	10113
ස්ථ	10110
පල	10106
පෙන	10105
කිල්ලට	10102
රත්	10102
යෙකුගේ	10096
ර්තමේන්තුවට	10094
ළින්	10084
ගන්නට	10057
ණිල්ලක්	10051
ක්කාර	10026
සිභාවය	10025
ශ්‍යතා	10023
නියේ	10021
න්ත්‍රවාදී	10005
හල	10000
වුම්	9997
වැසිභාවය	9988
පුව	9983
නාම	9959
පක්‍ෂ	9950
වාගේ	9950
පෑමක්	9929
වරණයක්	9893
තන්ත්‍රවාදී	9879
ණියේ	9850
හයක්	9830
ළම	9830
දේශ	9828
තිට	9827
මැතිවරයා	9782
පයට	9771
යෙ	9756
නාත්මක	9737
මුණින්	9735
න්නක්	9719
ගමට	9706
වියන්	9698
ධිය	9679
ධිත	9663
ලාගේ	9648
වෙනවා	9646
ත්තයා	9617
ජීවී	9604
ළිවෙළක්	9603
කූල	9602
ක්‍ෂක	9587
පිළිවෙළක්	9587
රාව	9584
ධිපතිවරයාට	9566
ක්කු	9562
ලුව	9524
සන්න	9524
රගමුව	9518
ලනික	9509
පාලනික	9501
ණාරත්න	9494
කී	9492
ර්ස්	9479
දක්	9476
කාමී	9456
කරණයෙන්	9450
දනයේ	9447
මයෙන්	9444
පාදන	9441
සයට	9440
තුවල	9435
ත්විය	9428
ත්තෙන්	9420
වාහන	9416
ලන්තයේ	9412
තුව	9399
ඟය	9374
කලා	9373
ධායන	9366
ගේම	9334
වුන්	9334
ලතා	9330
රාධිපති	9315
මීටර්	9299
ටුවක්	9242
හිනී	9242
ලයෙක්	9238
ම්භක	9235
ඝනය	9217
නාකරණය	9208
තුරින්	9207
මනාකරණය	9195
වාහිනී	9191
ශීලී	9175
ගණක	9172
පෑම	9163
වැව	9150
වටත්	9141
ණකි	9108
තෙල්	9096
කරුවන්ගේ	9071
තුමාගේ	9064
බ්	9039
දෙණිය	9035
සුමට	9035
නාකම	9030
යික	9008
කයාට	9002
යකුගේ	8989
යීය	8970
රන්න	8948
ද්‍යා	8945
කතා	8940
ක්‌	8937
සාද	8935
ළිවෙළ	8911
වළු	8900
දේ	8884
පිළිවෙළ	8881
තිනවා	8874
හී	8872
ලිගේ	8869
ජික	8860
වනවා	8848
ලතම	8844
වියට	8832
රල්	8827
ටයේ	8824
ර්තනය	8823
යුතුවල	8822
පත	8812
ජිතයින්	8805
ත්තුව	8793
පත්තිය	8788
බ	8752
දුම්	8749
වර්තනය	8746
දාවට	8740
ධාරි	8719
ල්වරයා	8719
ජිතයන්	8717
න්නේය	8716
පොල	8711
දහන්	8709
ජයක්	8706
යෝගයක්	8693
ම්කරු	8688
ලයක	8684
වැසියන්	8678
නයකින්	8676
න්නත්	8674
වාදීන්	8674
කාලික	8672
යීම	8665
රුවෙක්	8665
හක්	8648
ගාමීව	8613
ගනු	8611
යේත්	8610
රීහු	8608
විලි	8602
වුණු	8584
ණයක	8560
මලය	8542
සත්	8523
ටහනක්	8517
කල	8508
දේශක	8485
රයින්	8481
ක්ෂාවට	8476
ලියාව	8472
ණයකින්	8468
සටහනක්	8464
හක	8464
වේද	8452
හනේ	8442
රුදහන්	8425
ඹේ	8415
වේගයේ	8400
රගේ	8399
දලේ	8378
තනවල	8368
මුදලේ	8363
නීප	8362
මාට	8358
ගයේදී	8355
ත්‍යංශයේ	8353
නුයි	8348
ණාමලය	8340
බි	8326
ලයේදී	8326
ණන	8323
හිත	8313
දම	8309
ද්‍රව්‍ය	8289
ධාරීහු	8286
තිගේ	8269
ගත්තා	8233
ලියක්	8230
වන්ගෙන්	8225
මගේ	8224
නුව	8220
ඹීමට	8216
යේදි	8214
ලේකම්	8203
ක්වා	8202
රයාගෙන්	8187
ඩම්	8182
රකම්	8180
න්වන	8167
ණවලට	8160
ර්ණයෙන්	8157
ස්ම	8155
ත්වේ	8151
ර්ශනයක්	8135
යීමට	8129
වැනි	8123
කාලීන	8122
ටුවීමට	8111
තෙන්	8110
ඳපොළ	8109
වාදා	8103
ස්ට්	8078
මාරු	8073
රුවාදා	8068
හරුවාදා	8038
රකයන්	8037
පීය	8018
ගාමී	8014
පටයේ	7997
වරණයේදී	7994
කත්වයක්	7982
නවලින්	7980
තිව්	7979
හරු	7975
රලා	7969
ශ්‍යතාව	7969
ණලා	7965
ම්වත්	7961
ලාවල	7956
න්ටත්	7953
වේදය	7947
කරනු	7918
පද	7916
ශවලට	7912
වැලි	7894
ලාභ	7893
ස්ථානයක්	7888
කායේ	7886
මයට	7882
ද්දි	7880
මණය	7875
ගත්තේ	7872
හගත	7869
රවලට	7866
ධිකාරී	7854
යර්	7846
ණද	7842
ක්වීම	7832
ලුවක්	7829
න්තයට	7819
විද්‍යා	7808
ච්ඡාවට	7801
යකගේ	7801
න්ට්	7785
ණියන්	7781
ඹු	7781
රුගේ	7778
බිම	7773
කටම	7754
දාම	7753
ඥයින්	7748
වයන්	7727
බෝධ	7726
තින්නේ	7722
දුව	7722
දයෙන්	7716
රගත	7688
ධක	7686
දාපති	7685
පතා	7683
නවාද	7673
වේගය	7672
සුරාදා	7655
නුකූල	7641
ලංගු	7638
නාගාරයේ	7625
හපත්	7621
ස්ථානයට	7619
ක්වීමේ	7593
ගිලි	7576
තරයක්	7576
නින්ම	7573
ර්ජාතික	7566
න්ත්‍රවාදය	7562
දානමක්	7549
ලනයට	7545
නැගිලි	7529
මටය	7523
ලිමත්	7512
ලම්	7508
තන්ත්‍රවාදය	7507
රාජන්	7502
ගුණික	7501
ල්පති	7494
කාරකම්	7479
වේදයක්	7479
වලත්	7471
ණයා	7469
කඩම්	7464
ලපිටිය	7463
ත්වරුන්	7462
ශන	7458
ත්වරයා	7434
සුවාය	7432
සුව	7426
ප්ත	7423
ජනයට	7396
න්වීම	7384
වොත්	7377
යෙන්ද	7375
යී	7373
ඹට	7372
කරුවෙක්	7371
හලේ	7369
නාවන්ත	7364
යල	7364
ණිල්ල	7359
ත්කම	7343
වාසීන්	7323
කරයි	7307
යකවරයා	7307
පදය	7302
රියක	7300
ටීම	7295
ගිරිය	7287
යර	7280
නාවකට	7279
සමට	7276
ලිව	7264
මණ	7249
ද්‍යාලය	7247
ත්වයේ	7244
නුකූලව	7237
ම්ව	7234
ප්පු	7232
රියෙකු	7230
ත්මකව	7225
ටවත්	7219
ක්‍ෂණ	7218
වයකට	7215
වීමත්	7213
විද්‍යාලය	7212
විටත්	7206
යාම	7194
ගලය	7192
ල්වලින්	7190
සුවෙන්	7179
හරණයක්	7173
ග්‍රෑම්	7138
හරණය	7137
සුමක්	7126
රෝධී	7107
ධාරියෙකු	7096
නයි	7095
ත්තියක්	7091
න්වල	7085
වරයාගෙන්	7078
විත්	7071
ස්කම්	7071
ද්දක්	7069
කරගෙන	7068
ලේදී	7061
ඟට	7056
ළුවට	7056
දියි	7044
ලරාජන්	7035
ඩයක්	7026
දීයි	6994
යුත්තක්	6985
දාය	6984
හල්පති	6967
ටල්	6965
තින්දා	6940
රන්නේ	6938
ඩියා	6929
දානම්	6928
ක්‍ෂා	6927
විරෝධී	6914
ච්ඡාව	6908
වේදන	6905
වෙහි	6903
රයෝ	6898
ස්පතින්දා	6890
වරණයෙන්	6870
සුන්දර	6865
තනයට	6863
මාර	6853
රව්	6853
ර්ථක	6844
නාගේ	6841
සරික	6829
සියෙන්	6829
මාල්	6827
ටුවට	6823
මානය	6817
නයනය	6792
දරව්	6791
කන්ද	6788
හණ	6781
ද්ධි	6777
ත්නා	6757
කන්	6748
රියෙන්	6743
යනයට	6734
වින්ම	6734
ඬ	6730
රියෙක්	6723
හාස	6708
ගා	6707
කාරියට	6704
දයකට	6700
ස්ත්‍රාත්වරයා	6697
යකම	6690
න්සේලා	6687
දීන්ට	6677
තරය	6674
කීය	6670
